,Place Name,Latitude,Longitude,weather_next_3hrs,weather_desc_next_3hrs,temp_next_3hrs,temp_feels_next_3hrs,date_time_next_3hrs,weather_next_6hrs,weather_desc_next_6hrs,temp_next_6hrs,temp_feels_next_6hrs,date_time_next_6hrs,weather_next_9hrs,weather_desc_next_9hrs,temp_next_9hrs,temp_feels_next_9hrs,date_time_next_9hrs,weather_next_12hrs,weather_desc_next_12hrs,temp_next_12hrs,temp_feels_next_12hrs,date_time_next_12hrs
0,"York, UK",53.958332,-1.080278,Clouds,overcast clouds,282.6,279.62,2023-04-19 09:00:00,Clouds,overcast clouds,283.51,282.46,2023-04-19 12:00:00,Clouds,scattered clouds,284.09,282.83,2023-04-19 15:00:00,Clear,clear sky,281.7,278.78,2023-04-19 18:00:00
1,"Worcester, Worcestershire, the UK",52.192,-2.22,Clouds,scattered clouds,283.52,282.83,2023-04-19 09:00:00,Rain,light rain,284.24,283.57,2023-04-19 12:00:00,Rain,light rain,285.07,284.38,2023-04-19 15:00:00,Clouds,broken clouds,283.54,282.38,2023-04-19 18:00:00
2,"Winchester, Hampshire, the UK",51.0632,-1.308,Clouds,broken clouds,283.81,282.99,2023-04-19 09:00:00,Clouds,broken clouds,284.7,283.95,2023-04-19 12:00:00,Clouds,broken clouds,285.7,284.97,2023-04-19 15:00:00,Clouds,broken clouds,283.18,282.09,2023-04-19 18:00:00
3,"Wells, South West England, the UK",51.209,-2.647,Clouds,broken clouds,282.47,279.01,2023-04-19 09:00:00,Rain,light rain,283.74,283.02,2023-04-19 12:00:00,Rain,light rain,285.24,284.62,2023-04-19 15:00:00,Clouds,broken clouds,284.72,284.02,2023-04-19 18:00:00
4,"Wakefield, West Yorkshire, the UK",53.68,-1.49,Clouds,overcast clouds,282.99,280.6,2023-04-19 09:00:00,Clouds,overcast clouds,283.07,280.75,2023-04-19 12:00:00,Clouds,scattered clouds,285.03,283.68,2023-04-19 15:00:00,Clouds,few clouds,282.86,280.32,2023-04-19 18:00:00
5,"Truro, Cornwall, the UK",50.26,-5.051,Rain,light rain,284.19,283.6,2023-04-19 09:00:00,Rain,light rain,284.17,283.6,2023-04-19 12:00:00,Rain,light rain,284.94,284.34,2023-04-19 15:00:00,Clouds,scattered clouds,284.41,283.78,2023-04-19 18:00:00
6,"Sunderland, North East, the UK",54.9061,-1.38113,Clouds,scattered clouds,282.31,279.1,2023-04-19 09:00:00,Clouds,scattered clouds,282.53,279.48,2023-04-19 12:00:00,Clouds,few clouds,282.62,279.95,2023-04-19 15:00:00,Clear,clear sky,281.61,279.08,2023-04-19 18:00:00
7,"Sheffield, South Yorkshire, the UK",53.38333,-1.466667,Clouds,broken clouds,282.01,278.94,2023-04-19 09:00:00,Rain,light rain,282.33,279.47,2023-04-19 12:00:00,Clouds,broken clouds,284.18,282.93,2023-04-19 15:00:00,Clouds,scattered clouds,282.04,278.95,2023-04-19 18:00:00
8,"Salford, North West, the UK",53.483,-2.2931,Clouds,broken clouds,283.07,280.18,2023-04-19 09:00:00,Clouds,broken clouds,283.99,283.04,2023-04-19 12:00:00,Clouds,broken clouds,285.84,284.52,2023-04-19 15:00:00,Clouds,scattered clouds,283.82,282.3,2023-04-19 18:00:00
9,"St. Davids, Wales, the UK",51.882,-5.269,Clouds,scattered clouds,284.83,284.12,2023-04-19 09:00:00,Rain,light rain,284.67,283.91,2023-04-19 12:00:00,Rain,light rain,284.8,284.11,2023-04-19 15:00:00,Rain,light rain,284.71,284.09,2023-04-19 18:00:00
10,"St.Albans, Hertfordshire, the UK",51.755,-0.336,Clouds,broken clouds,283.52,282.81,2023-04-19 09:00:00,Rain,light rain,284.25,283.5,2023-04-19 12:00:00,Clouds,broken clouds,284.67,283.71,2023-04-19 15:00:00,Clouds,scattered clouds,281.81,278.38,2023-04-19 18:00:00
11,"Ripon, North Yorkshire, the UK",54.138,-1.524,Clouds,overcast clouds,282.29,279.49,2023-04-19 09:00:00,Clouds,overcast clouds,283.15,280.21,2023-04-19 12:00:00,Clouds,scattered clouds,284.26,283.02,2023-04-19 15:00:00,Clear,clear sky,282.08,279.47,2023-04-19 18:00:00
12,"Portsmouth, Hampshire, the UK",50.805832,-1.087222,Clouds,overcast clouds,285.59,284.98,2023-04-19 09:00:00,Clouds,broken clouds,285.54,284.9,2023-04-19 12:00:00,Clouds,scattered clouds,285.82,285.15,2023-04-19 15:00:00,Clouds,scattered clouds,283.6,282.63,2023-04-19 18:00:00
13,"Perth, Scotland, the UK",56.397,-3.437,Clouds,few clouds,283.38,282.5,2023-04-19 09:00:00,Clouds,few clouds,284.04,282.99,2023-04-19 12:00:00,Clear,clear sky,284.57,283.31,2023-04-19 15:00:00,Clear,clear sky,282.82,280.63,2023-04-19 18:00:00
14,"Nottingham, the UK",52.95,-1.15,Clouds,broken clouds,282.92,279.76,2023-04-19 09:00:00,Rain,light rain,283.15,280.24,2023-04-19 12:00:00,Clouds,broken clouds,284.35,283.22,2023-04-19 15:00:00,Clouds,scattered clouds,281.6,278.07,2023-04-19 18:00:00
15,"Newry, Northern Ireland, the UK",54.176,-6.349,Clear,clear sky,282.37,278.95,2023-04-19 09:00:00,Clouds,few clouds,282.84,279.55,2023-04-19 12:00:00,Clouds,broken clouds,284.0,283.1,2023-04-19 15:00:00,Clouds,broken clouds,283.69,282.68,2023-04-19 18:00:00
16,"Newcastle Upon Tyne, the UK",54.966667,-1.6,Clouds,few clouds,282.49,279.61,2023-04-19 09:00:00,Clouds,few clouds,283.23,282.2,2023-04-19 12:00:00,Clear,clear sky,283.73,282.54,2023-04-19 15:00:00,Clear,clear sky,282.18,280.06,2023-04-19 18:00:00
17,"Liverpool, the UK",53.4,-2.983333,Clouds,scattered clouds,283.4,282.46,2023-04-19 09:00:00,Rain,light rain,284.22,283.31,2023-04-19 12:00:00,Rain,light rain,285.72,284.65,2023-04-19 15:00:00,Clouds,broken clouds,284.21,282.78,2023-04-19 18:00:00
